monetary_code	rate_as_float	date_as_iso
EUR	42149.1709	2021-09-05T10:33:00+00:00
USD	50086.6814	2021-09-05T10:38:00+00:00
GBP	36124.5682	2021-09-05T10:38:00+00:00
EUR	42148.0927	2021-09-05T10:38:00+00:00
USD	50084.0954	2021-09-05T10:43:00+00:00
GBP	36122.703	2021-09-05T10:43:00+00:00
EUR	42145.9165	2021-09-05T10:43:00+00:00
USD	49994.868	2021-09-05T10:48:00+00:00
GBP	36058.3486	2021-09-05T10:48:00+00:00
EUR	42070.8314	2021-09-05T10:48:00+00:00
USD	50051.1967	2021-09-05T10:53:00+00:00
GBP	36098.9751	2021-09-05T10:53:00+00:00
EUR	42118.2322	2021-09-05T10:53:00+00:00
USD	50062.4021	2021-09-05T10:54:00+00:00
GBP	36107.0569	2021-09-05T10:54:00+00:00
EUR	42127.6615	2021-09-05T10:54:00+00:00
USD	50052.9817	2021-09-05T10:55:00+00:00
GBP	36100.2626	2021-09-05T10:55:00+00:00
EUR	42119.7342	2021-09-05T10:55:00+00:00
USD	50049.5027	2021-09-05T10:55:00+00:00
GBP	36097.7534	2021-09-05T10:55:00+00:00
EUR	42116.8067	2021-09-05T10:55:00+00:00
USD	50027.23	2021-09-05T10:56:00+00:00
GBP	36081.6894	2021-09-05T10:56:00+00:00
EUR	42098.0641	2021-09-05T10:56:00+00:00
USD	50027.0106	2021-09-05T10:57:00+00:00
GBP	36081.5311	2021-09-05T10:57:00+00:00
EUR	42097.8795	2021-09-05T10:57:00+00:00
USD	50027.0106	2021-09-05T10:57:00+00:00
GBP	36081.5311	2021-09-05T10:57:00+00:00
EUR	42097.8795	2021-09-05T10:57:00+00:00
USD	50028.9833	2021-09-05T10:58:00+00:00
GBP	36082.954	2021-09-05T10:58:00+00:00
EUR	42099.5396	2021-09-05T10:58:00+00:00
USD	50046.4557	2021-09-05T10:58:00+00:00
GBP	36095.5557	2021-09-05T10:58:00+00:00
EUR	42114.2426	2021-09-05T10:58:00+00:00
USD	50020.8533	2021-09-05T10:59:00+00:00
GBP	36077.0903	2021-09-05T10:59:00+00:00
EUR	42092.6981	2021-09-05T10:59:00+00:00
USD	49993.0684	2021-09-05T11:02:00+00:00
GBP	36057.0506	2021-09-05T11:02:00+00:00
EUR	42069.317	2021-09-05T11:02:00+00:00
USD	49992.3483	2021-09-05T11:03:00+00:00
GBP	36056.5313	2021-09-05T11:03:00+00:00
EUR	42068.7111	2021-09-05T11:03:00+00:00
USD	49992.6158	2021-09-05T11:03:00+00:00
GBP	36056.7242	2021-09-05T11:03:00+00:00
EUR	42068.9361	2021-09-05T11:03:00+00:00
USD	49979.4785	2021-09-05T11:06:00+00:00
GBP	36047.249	2021-09-05T11:06:00+00:00
EUR	42057.8811	2021-09-05T11:06:00+00:00
USD	49980.2883	2021-09-05T11:07:00+00:00
GBP	36047.8331	2021-09-05T11:07:00+00:00
EUR	42058.5626	2021-09-05T11:07:00+00:00
USD	50003.5333	2021-09-05T11:08:00+00:00
GBP	36064.5984	2021-09-05T11:08:00+00:00
EUR	42078.1233	2021-09-05T11:08:00+00:00
USD	50037.4988	2021-09-05T11:08:00+00:00
GBP	36089.0957	2021-09-05T11:08:00+00:00
EUR	42106.7053	2021-09-05T11:08:00+00:00
USD	50037.4988	2021-09-05T11:08:00+00:00
GBP	36089.0957	2021-09-05T11:08:00+00:00
EUR	42106.7053	2021-09-05T11:08:00+00:00
USD	50010.8633	2021-09-05T11:10:00+00:00
GBP	36069.8851	2021-09-05T11:10:00+00:00
EUR	42084.2915	2021-09-05T11:10:00+00:00
USD	50010.8633	2021-09-05T11:10:00+00:00
GBP	36069.8851	2021-09-05T11:10:00+00:00
EUR	42084.2915	2021-09-05T11:10:00+00:00
USD	50052.0833	2021-09-05T11:11:00+00:00
GBP	36099.6146	2021-09-05T11:11:00+00:00
EUR	42118.9783	2021-09-05T11:11:00+00:00
USD	50074.15	2021-09-05T11:11:00+00:00
GBP	36115.53	2021-09-05T11:11:00+00:00
EUR	42137.5475	2021-09-05T11:11:00+00:00
USD	50074.15	2021-09-05T11:11:00+00:00
GBP	36115.53	2021-09-05T11:11:00+00:00
EUR	42137.5475	2021-09-05T11:11:00+00:00
USD	50074.15	2021-09-05T11:11:00+00:00
GBP	36115.53	2021-09-05T11:11:00+00:00
EUR	42137.5475	2021-09-05T11:11:00+00:00
USD	50068.4071	2021-09-05T11:12:00+00:00
GBP	36111.388	2021-09-05T11:12:00+00:00
EUR	42132.7148	2021-09-05T11:12:00+00:00
USD	50068.4071	2021-09-05T11:12:00+00:00
GBP	36111.388	2021-09-05T11:12:00+00:00
